uniName,LISTING_PROGRAMME,Course_listing_Link,COURSE_LISTING_PAGE_1,COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Req Link,EnglishRequirementLink,ScholarshipLink,Comment
,,,,,,r.html,e.html,s.html,pdf/ not found
University of Hull,Foundation,,https://www.hull.ac.uk/search/courses?q=&level=undergraduate&option=foundation-year&year=2027&mode=full-time&page=1,https://www.hull.ac.uk/search/courses?q=&level=undergraduate&option=foundation-year&year=2027&mode=full-time&page=2,https://www.hull.ac.uk/study/undergraduate/courses/creative-writing-and-english-ba-hons?option=foundation-year&start=2027,https://www.hull.ac.uk/study/international-students/your-country/bangladesh,https://www.hull.ac.uk/study/international-students/how-to-apply/english-language-requirements#accepted-english-qualifications,https://www.hull.ac.uk/study/postgraduate-taught/fees-and-funding/scholarships-and-awards,
University of Hull,Undergraduate,,https://www.hull.ac.uk/search/courses?q=&mode=full-time&page=1&level=undergraduate&year=2027,https://www.hull.ac.uk/search/courses?q=&mode=full-time&page=2&level=undergraduate&year=2027,https://www.hull.ac.uk/study/undergraduate/courses/artificial-intelligence-bsc-meng-hons?option=standard-course&start=2027&modYear=first-year&modType=compulsory,https://www.hull.ac.uk/study/international-students/your-country/bangladesh,https://www.hull.ac.uk/study/international-students/how-to-apply/english-language-requirements#accepted-english-qualifications,https://www.hull.ac.uk/study/postgraduate-taught/fees-and-funding/scholarships-and-awards,
University of Hull,Postgraduate,,https://www.hull.ac.uk/search/courses?q=&mode=full-time&page=1&level=postgraduate-taught&year=2027,https://www.hull.ac.uk/search/courses?q=&mode=full-time&page=2&level=postgraduate-taught&year=2027,https://www.hull.ac.uk/study/postgraduate-taught/courses/artificial-intelligence-for-engineering-msc?option=msc&year=2027&mode=1-year&month=january,https://www.hull.ac.uk/study/international-students/your-country/bangladesh,https://www.hull.ac.uk/study/international-students/how-to-apply/english-language-requirements#accepted-english-qualifications,https://www.hull.ac.uk/study/postgraduate-taught/fees-and-funding/scholarships-and-awards,
University of Hull,Postgraduate Research,,https://www.hull.ac.uk/search/courses?q=&mode=full-time&page=1&level=postgraduate-research&year=2027,https://www.hull.ac.uk/search/courses?q=&mode=full-time&page=2&level=postgraduate-research&year=2027,https://www.hull.ac.uk/study/postgraduate-research/courses/data-science-research-degrees?option=msc-by-thesis-data-science&mode=1-year&year=february-2027,https://www.hull.ac.uk/study/international-students/your-country/bangladesh,https://www.hull.ac.uk/study/international-students/how-to-apply/english-language-requirements#accepted-english-qualifications,https://www.hull.ac.uk/study/postgraduate-taught/fees-and-funding/scholarships-and-awards,
