uniName,LISTING_PROGRAMME,All_Course_listing_Link,Paginated_COURSE_LISTING_PAGE_1,Paginated_COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Entry Req Link,EnglishRequirementLink,ScholarshipLink,Deposit,Comment
,,,,,,,,,,pdf/ not found
,undergraduate,https://www.uel.ac.uk/study/undergraduate/courses,,,https://www.uel.ac.uk/postgraduate/courses/msc-civil-engineering,https://www.uel.ac.uk/international/guidance-your-region/south-asia/bangladesh,https://www.uel.ac.uk/regions/english-language-requirements,"The University offers scholarships and discounts of up to £5,000 for international, self-funded students who pay full overseas fees.","Your full deposit amount and structure are stated in your offer letter. You can pay a deposit of £1,500 to start the pre-CAS checks process.",
,postgraduate,https://www.uel.ac.uk/study/postgraduate/courses,,,,,"
Test Qualification	Overall Minimum Score	Minimum Score per Skill (Listening, Reading, Writing, Speaking)	Notes
IELTS Academic	6.0	Usually 5.5 or 6.0	Some courses require 6.5 overall
TOEFL iBT	80	Usually 17-20	Varies by course
Pearson PTE Academic	54	Minimum 51	Accepted widely
Cambridge English: Advanced (CAE)	Grade C or above	N/A	Recognized qualification
 ",Pay your tuition fees in full and save 5 per cent on your course fees with UEL’s Early Payment Discount.,"Payment in full, if paid 2 weeks prior to start date you will be entitled to a 5% early payment discount.",
