uniName,Course_listing_Link,LISTING_PROGRAMME,COURSE_LISTING_PAGE_1,COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Entry Req Link,EnglishRequirementLink,ScholarshipLink,Comment
,,,,,,,,,pdf/ not found
Edinburgh Napier University,https://www.napier.ac.uk/courses?ps=100,,,,https://www.napier.ac.uk/study-with-us/apprenticeships/ba-business-management-ga,https://www.napier.ac.uk/study-with-us/undergraduate/how-to-apply/understanding-our-entry-requirements,https://www.napier.ac.uk/study-with-us/international-students/english-language/english-language-requirements,https://www.napier.ac.uk/global/enuic/fees-and-scholarships,
,2,,,,,"Entry requirements
Undergraduate
Students from Bangladesh would generally be required to complete an international pathway programme to be considered for entry to one of our bachelor courses.  


Postgraduate
Students will be eligible to apply if they have gained a four year Bachelor degree (from BUET) with 55% or above or a Masters degree which is equivalent to a British Bachelor (Hons). Other Bachelor degrees can be considered when combined with at least 5 years' relevant work experience.

English language
Students from Bangladesh are required to sit an English language test to gain entry to the University.

Find the approved English tests and scores we accept on our English Language Requirements page.

We also offer various pre-sessional English language programmes for applicants who have test results below the programme requirement. 

Some courses may require a higher English language score. Please search for the course you're interested in to find out more.
Pathway programmes
Edinburgh Napier University International College (ENUIC) is an embedded on campus college for international students to start their studies at Edinburgh Napier University. It is located in the historic, city centre campus of Merchiston, with easy access to student accommodation.

Pathway programmes at ENUIC prepare students for their chosen future degree with academic and English language support. ENUIC offers students the option between International Stage One, International Stage Two, or an International Incorporated Masters. 

Undergraduate
International Year One
English language requirement – IELTS 5.5 with no less than 5.5 in each component.

Academic requirement - Higher Secondary Certificate (HSC) 50%

International Year Two

English language requirement – IELTS 5.5 with no less than 5.5 in each component.

Academic requirement - Higher Secondary Certificate (HSC): 65%

Postgraduate
International Incorporated Masters
– One Term IELTS 6.0 overall with 5.5 minimum in all components
– Two Terms IELTS 5.5 overall with 5.5 minimum in all components

Academic requirement - Bachelor Degree: 4 years with a minimum of 40%","Accepted English language tests
We accept the following English language tests. The grades below are the minimum requirements and some courses require a higher level. Visit our course listings for further information. If you hold a language certificate that is not listed below, please get in touch with us.

Browse our courses

You’re very welcome to apply before taking an English language test. If your application is successful, but we need further evidence that you meet our English language requirements, an English language test will likely be a condition of your offer. The test would need to be completed less than 2 years before your course start date.

UKVI Approved Secure English Language Test (SELT)
Please note, in some cases offers will require you to complete a UKVI approved Secure English Language Test (SELT). If this is the case, only the below tests are accepted. If you are unsure if this applies to you, please consult your offer letter 

IELTS for UKVI Academic (from approved test centre) 
6.0 overall, with no component below 5.5

IELTS One Skills Retake is accepted if you do not meet the required score in one component but it must be taken within 60 days of your full IELTS test. More information can be found on the IELTS FAQs.

LanguageCert English language qualification (test centre test only, online invigilated tests are not accepted)
65 overall with no component below 60

Pearson’s Test of Academic English
59 overall with a minimum of 59 in each component

PSI Service (UK) Skills for English (taken outside the UK)
Skills for English UKVI B2 Level - Pass in all 4 skills

Trinity College London - Integrated Skills in English (taken in UK only)
ISE II 90 overall with minimum 80 in each skill

Undergraduate and postgraduate taught degrees 
IELTS (Academic)

6.0 overall, with no component below 5.5

IELTS One Skills Retake is accepted if you do not meet the required score in one component but it must be taken within 60 days of your full IELTS test. More information can be found on the IELTS FAQs.

Entry to our Pre-sessional English for Academic Purposes Programme requires an IELTS Academic for UKVI test from an approved test centre.

TOEFL Internet Based Test

80 overall with a minimum of 17 in listening, 18 in reading, 20 in speaking and 17 in writing (if test taken prior to January 2026)
 
4 overall with a minimum of 4 in listening, 4 in reading, 4 in speaking and 4 in writing  (if test taken from January 2026)

We are no longer accepting Home Edition or Paper tests.

Pearson’s Test of Academic English

59 overall with a minimum of 59 in each component

Cambridge C2 Proficiency (formerly Cambridge English Proficiency (CPE))

169 overall with a minimum of 162 in each component

Cambridge B2 First (formerly Cambridge English First (FCE))

169 overall with a minimum of 162 in each component

Cambridge C1 Advanced (formerly Cambridge English Advanced (CAE))

169 overall with a minimum of 162 in each component

Trinity Integrated Skills Test (ISE)

ISE II 90 overall with minimum 80 in each skill

LanguageCert English language qualification (test centre test only, online invigilated tests are not accepted)
International ESOL SELT B2 (4 components) - 33/50

LanguageCert Academic

65 overall with no component below 60


PSI Service (UK) Skills for English (taken outside the UK)
Skills for English UKVI B2 Level - Pass in all 4 skills

Oxford Test of English
Overall 126 with minimum of 111 in each component

Oxford Digital Institute (OIDI) English Language Test (ELLT)
6.0 overall, with no component below 5.0

Research degree programmes
The University accepts the following English language tests for entry purposes. If you want to study a DBA please contact the Doctoral College Admissions Team.

IELTS (Academic)

6.5 overall with no component less than 6.0

IELTS One Skills Retake is also accepted if you do not meet the required score in one component.

Entry to our Pre-sessional English for Academic Purposes Programme requires an IELTS Academic for UKVI test from an approved test centre.

TOEFL Internet Based Test

88 overall with a minimum of 19 in listening, 20 in reading, 22 in speaking and 19 in writing

We are no longer accepting Home Edition or Paper tests.

Pearson’s Test of Academic English

68 overall with a minimum of 63 in each component

Cambridge C2 Proficiency (formerly Cambridge English Proficiency (CPE))

176 overall with a minimum of 169 in each component

Cambridge C1 Advanced (formerly Cambridge English Advanced (CAE))

176 overall with a minimum of 169 in each component

Trinity Integrated Skills Test (ISE)

ISE II 96 overall with minimum 90 in each skill

LanguageCert English language qualification (test centre test only, online invigilated tests are not accepted)

B2 Communicator Test with overall 39 or above, and 39 or above in all skills OR C1 Expert Test for SELT with 4 components minimum 33/50 and 33 in all components

LanguageCert Academic

65 overall with no component below 60

PSI Service (UK) Skills for English (taken outside the UK)
Skills for English UKVI B2 Level - Pass with merit grade in all 4 skills

Oxford Digital Institute (OIDI) English Language Test (ELLT)
7.0 overall, no component below 6.0",,
