"uniName","courseName","degreeName","courseUrlExternal","md_file","study_level","expectedFromMd","stage1_output","stage2_output","output_json","course.md","normalized.json","output.json","stage1_parsed.json","parser_hints.json","extraction_warnings.json","entry_requirement_parsed.json","english_requirements_parsed.json","scholarship_parsed.json"
"University of Essex","BSc (Hons)  Financial Economics","BSc","https://www.essex.ac.uk/courses/UG00172/3/BSc-Financial-Economics","undergraduate/ug00172-3-bsc-financial-economics.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  Financial Economics"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00172/3/BSc-Financial-Economics"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00172-3-bsc-financial-economics.md","","","","","","","",""
"University of Essex","BSc (Hons)  Genetics","BSc","https://www.essex.ac.uk/courses/UG00178/1/BSc-Genetics","undergraduate/ug00178-1-bsc-genetics.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  Genetics"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00178/1/BSc-Genetics"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00178-1-bsc-genetics.md","","","","","","","",""
"University of Essex","BA (Hons)  History","BA","https://www.essex.ac.uk/courses/UG00189/1/BA-History","undergraduate/ug00189-1-ba-history.md","undergraduate","{
  ""courseName"": ""BA (Hons)  History"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00189/1/BA-History"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00189-1-ba-history.md","","","","","","","",""
"University of Essex","Integrated Master in History: History","","https://www.essex.ac.uk/courses/UG00189/4/Integrated-Master-in-History-History","undergraduate/ug00189-4-integrated-master-in-history-history.md","undergraduate","{
  ""courseName"": ""Integrated Master in History: History"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00189/4/Integrated-Master-in-History-History"",
  ""degreeName"": """",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""4 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00189-4-integrated-master-in-history-history.md","","","","","","","",""
"University of Essex","BA (Hons)  History and Criminology","BA","https://www.essex.ac.uk/courses/UG00190/1/BA-History-and-Criminology","undergraduate/ug00190-1-ba-history-and-criminology.md","undergraduate","{
  ""courseName"": ""BA (Hons)  History and Criminology"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00190/1/BA-History-and-Criminology"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00190-1-ba-history-and-criminology.md","","","","","","","",""
"University of Essex","BA (Hons)  History and Literature","BA","https://www.essex.ac.uk/courses/UG00194/1/BA-History-and-Literature","undergraduate/ug00194-1-ba-history-and-literature.md","undergraduate","{
  ""courseName"": ""BA (Hons)  History and Literature"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00194/1/BA-History-and-Literature"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00194-1-ba-history-and-literature.md","","","","","","","",""
"University of Essex","BA (Hons)  History and Sociology","BA","https://www.essex.ac.uk/courses/UG00197/1/BA-History-and-Sociology","undergraduate/ug00197-1-ba-history-and-sociology.md","undergraduate","{
  ""courseName"": ""BA (Hons)  History and Sociology"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00197/1/BA-History-and-Sociology"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00197-1-ba-history-and-sociology.md","","","","","","","",""
"University of Essex","BA (Hons)  History with Film Studies","BA","https://www.essex.ac.uk/courses/UG00203/1/BA-History-with-Film-Studies","undergraduate/ug00203-1-ba-history-with-film-studies.md","undergraduate","{
  ""courseName"": ""BA (Hons)  History with Film Studies"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00203/1/BA-History-with-Film-Studies"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00203-1-ba-history-with-film-studies.md","","","","","","","",""
"University of Essex","BA (Hons)  History with Human Rights","BA","https://www.essex.ac.uk/courses/UG00204/1/BA-History-with-Human-Rights","undergraduate/ug00204-1-ba-history-with-human-rights.md","undergraduate","{
  ""courseName"": ""BA (Hons)  History with Human Rights"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00204/1/BA-History-with-Human-Rights"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00204-1-ba-history-with-human-rights.md","","","","","","","",""
"University of Essex","BSc (Hons)  International Business and Entrepreneurship","BSc","https://www.essex.ac.uk/courses/UG00216/1/BSc-International-Business-and-Entrepreneurship","undergraduate/ug00216-1-bsc-international-business-and-entrepreneurship.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  International Business and Entrepreneurship"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00216/1/BSc-International-Business-and-Entrepreneurship"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00216-1-bsc-international-business-and-entrepreneurship.md","","","","","","","",""
"University of Essex","BA (Hons)  International Relations","BA","https://www.essex.ac.uk/courses/UG00221/1/BA-International-Relations","undergraduate/ug00221-1-ba-international-relations.md","undergraduate","{
  ""courseName"": ""BA (Hons)  International Relations"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00221/1/BA-International-Relations"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00221-1-ba-international-relations.md","","","","","","","",""
"University of Essex","Integrated Master in Politics: International Relations","","https://www.essex.ac.uk/courses/UG00221/4/Integrated-Master-in-Politics-International-Relations","undergraduate/ug00221-4-integrated-master-in-politics-international-relations.md","undergraduate","{
  ""courseName"": ""Integrated Master in Politics: International Relations"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00221/4/Integrated-Master-in-Politics-International-Relations"",
  ""degreeName"": """",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""4 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00221-4-integrated-master-in-politics-international-relations.md","","","","","","","",""
"University of Essex","BA (Hons)  International Relations and Modern Languages","BA","https://www.essex.ac.uk/courses/UG00222/1/BA-International-Relations-and-Modern-Languages","undergraduate/ug00222-1-ba-international-relations-and-modern-languages.md","undergraduate","{
  ""courseName"": ""BA (Hons)  International Relations and Modern Languages"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00222/1/BA-International-Relations-and-Modern-Languages"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""4 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00222-1-ba-international-relations-and-modern-languages.md","","","","","","","",""
"University of Essex","BA (Hons)  Language Studies","BA","https://www.essex.ac.uk/courses/UG00230/1/BA-Language-Studies","undergraduate/ug00230-1-ba-language-studies.md","undergraduate","{
  ""courseName"": ""BA (Hons)  Language Studies"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00230/1/BA-Language-Studies"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00230-1-ba-language-studies.md","","","","","","","",""
"University of Essex","BA (Hons)  Latin American Studies with Business Management","BA","https://www.essex.ac.uk/courses/UG00232/1/BA-Latin-American-Studies-with-Business-Management","undergraduate/ug00232-1-ba-latin-american-studies-with-business-management.md","undergraduate","{
  ""courseName"": ""BA (Hons)  Latin American Studies with Business Management"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00232/1/BA-Latin-American-Studies-with-Business-Management"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""4 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00232-1-ba-latin-american-studies-with-business-management.md","","","","","","","",""
