uniName,LISTING_PROGRAMME,Course_listing_Link,COURSE_LISTING_PAGE_1,COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Req Link,EnglishRequirementLink,ScholarshipLink,Comment
,,,,,,r.html,e.html,s.html,pdf/ not found
,,,https://www.cardiffmet.ac.uk/courses/?page=1,https://www.cardiffmet.ac.uk/courses/?page=2,https://www.cardiffmet.ac.uk/courses/postgraduate/msc-robotics-and-artificial-intelligence/,https://www.cardiffmet.ac.uk/international-students/country-specific-entry-requirements/#Asia,https://www.cardiffmet.ac.uk/international-students/english-language-requirements/accepted-secure-english-language-tests/,https://www.cardiffmet.ac.uk/international-students/fees-and-finance/international-scholarships/,
,,,,,,"Bangladesh
Undergraduate – Year 0 / 4 year degree: Higher Secondary Certificate (HSC) Intermediate with GPA 3.0 plus
Undergraduate Year 1 entry - 3 yr degree: Higher Secondary Certificate (HSC) Intermediate with GPA 4.0 considered for Year 1 entry
Postgraduate: Bachelor degree (4 year) with GPA 2.5/4.0 from a recognised Institution in Bangladesh, or Bachelor degree from North South University with GPA 2.2/4.0 will be considered.",,,
