uniName,LISTING_PROGRAMME,All_Course_listing_Link,Paginated_COURSE_LISTING_PAGE_1,Paginated_COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Entry Req Link,EnglishRequirementLink,ScholarshipLink,Deposit,Comment
,,,,,,,,,,pdf/ not found
,Undergraduate,,https://www.uos.ac.uk/study/search-for-a-course/?courseType=undergraduate&courseStudyMode=full-time&page=1,https://www.uos.ac.uk/study/search-for-a-course/?courseType=undergraduate&courseStudyMode=full-time&page=2,https://www.uos.ac.uk/study/ai-and-automation-practitioner-ha/#d.en.69218,https://www.uos.ac.uk/international/countries/bangladesh/,https://www.uos.ac.uk/international/english-language-requirements/,,"Applicants from Bangladesh required to pay a CAS deposit of £10,000.",
,Postgraduate,,https://www.uos.ac.uk/study/search-for-a-course/?courseType=postgraduate&courseStudyMode=full-time&page=1,https://www.uos.ac.uk/study/search-for-a-course/?courseType=postgraduate&courseStudyMode=full-time&page=2,,,,International Merit Scholarship (2026/7),,
,,,,,,,,The University of Suffolk International Merit Scholarship (2026/27) is a scheme designed to reward international students who meet or exceed our published entry requirements (based on the country where you obtained your qualifications). The scheme is open to applicants of undergraduate and postgraduate-taught programmes delivered by the University of Suffolk at the Ipswich campus or the London Centre.,,
,,,,,,,,,,
,,,,,,,,"The awards are £1,000 - £3,000 based on your academic achievements and level of study.",,
