uniName,LISTING_PROGRAMME,All_Course_listing_Link,Paginated_COURSE_LISTING_PAGE_1,Paginated_COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Entry Req Link,EnglishRequirementLink,ScholarshipLink,Deposit,Comment
University of South Wales,,,,,,,,,,
,Foundation,https://www.southwales.ac.uk/courses/?courselevel=undergraduate&coursemode=full-time&coursetype=foundation+year,https://www.southwales.ac.uk/courses/?courselevel=undergraduate&coursemode=full-time&coursetype=foundation+year&page=1,https://www.southwales.ac.uk/courses/?courselevel=undergraduate&coursemode=full-time&coursetype=foundation+year&page=2,https://www.southwales.ac.uk/courses/ma-animation/,https://www.southwales.ac.uk/international/your-country/bangladesh/,https://www.southwales.ac.uk/international/english-language-programmes/requirements/,https://www.southwales.ac.uk/international/fees-scholarships/international-scholarships/,,
,Undergraduate,,https://www.southwales.ac.uk/courses/?courselevel=undergraduate&coursemode=full-time&page=1,https://www.southwales.ac.uk/courses/?courselevel=undergraduate&coursemode=full-time&page=2,https://www.southwales.ac.uk/courses/ma-animation/,https://www.southwales.ac.uk/international/your-country/bangladesh/,https://www.southwales.ac.uk/international/english-language-programmes/requirements/,https://www.southwales.ac.uk/international/fees-scholarships/international-scholarships/,The University of South Wales requires an initial tuition fee deposit of 50% of your first year's course fees for international students to secure your place and obtain your CAS (Confirmation of Acceptance for Studies) before applying for a student visa,
,Postgraduate,,https://www.southwales.ac.uk/courses/?courselevel=postgraduate&coursemode=full-time&page=1,https://www.southwales.ac.uk/courses/?courselevel=postgraduate&coursemode=full-time&page=2,,,,,,
,Postgraduate Research,,,,,,,,,
