uniName,LISTING_PROGRAMME,Course_listing_Link,COURSE_LISTING_PAGE_1,COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Req Link,EnglishRequirementLink,ScholarshipLink,Comment
,,,,,,r.html,e.html,s.html,pdf/ not found
,Undergraduate,,https://www.aru.ac.uk/study/undergraduate/clearing/clearing-courses?levelofstudy=Undergraduate&modeofstudy=Full-time&page=1,https://www.aru.ac.uk/study/undergraduate/clearing/clearing-courses?levelofstudy=Undergraduate&modeofstudy=Full-time&page=2,https://www.aru.ac.uk/study/undergraduate/animation-and-illustration#careers,https://www.aru.ac.uk/international/south-asia,https://www.aru.ac.uk/international/entry-requirements,https://www.aru.ac.uk/student-life/preparing-for-study/help-with-finances/scholarships,
,Postgraduate,,https://www.aru.ac.uk/study/course-search?levelofstudy=Postgraduate&modeofstudy=Full-time&page=1,https://www.aru.ac.uk/study/course-search?levelofstudy=Postgraduate&modeofstudy=Full-time&page=2,https://www.aru.ac.uk/study/postgraduate/artificial-intelligence,,,,
,Postgraduate Research,,https://www.aru.ac.uk/study/course-search?levelofstudy=Research&page=1,https://www.aru.ac.uk/study/course-search?levelofstudy=Research&page=2,https://www.aru.ac.uk/study/postgraduate/school-of-allied-health,,,,
,Foundation,,https://www.aru.ac.uk/study/undergraduate/clearing/clearing-courses?levelofstudy=Undergraduate&modeofstudy=Foundation+year&page=1,https://www.aru.ac.uk/study/undergraduate/clearing/clearing-courses?levelofstudy=Undergraduate&modeofstudy=Foundation+year&page=2,https://www.aru.ac.uk/study/undergraduate/biomedical-engineering#careers,,,,
