uniName,LISTING_PROGRAMME,Course_listing_Link,COURSE_LISTING_PAGE_1,COURSE_LISTING_PAGE_2,Course Detail page,Bangladesh Req Link,EnglishRequirementLink,ScholarshipLink,Comment
University of Greenwich,Postgraduate,https://www.gre.ac.uk/postgraduate-courses/a-z,,,https://www.gre.ac.uk/postgraduate-courses/engsci/computing-and-information-systems-msc#entry-requirements,https://www.gre.ac.uk/international/countries/bangladesh,https://www.gre.ac.uk/international/support-and-help/courses,"Early Applicant Postgraduate Scholarship: automatic award of £3,500 for new international Postgraduate taught students. Early Applicant Undergraduate Scholarship: automatic award of £7,000 for new International Undergraduate students (£3,500 in Year 1, £2,000 in Year 2 and £1,500 in Year 3).",You can accept your place by paying a £3,000 deposit.
University of Greenwich,Undergraduate,https://www.gre.ac.uk/undergraduate-courses/a-z,,,,,,,,
University of Greenwich,Foundation,https://www.gre.ac.uk/foundation-degrees,,,,,,,Foundation programme — check on the university website (listing is FdSc / partner colleges)
